"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
4.268895926E1,6.505716557E1,2.546736940E1,2.403605270E1,1.440000057E0,1.766000061E2,3.790092468E0,2.500000000E0
4.368389587E1,6.505714944E1,2.546737753E1,2.351420916E1,1.399999976E0,1.778000031E2,3.790092468E0,2.500000000E0
4.468575868E1,6.505713384E1,2.546738250E1,2.300365657E1,1.370000005E0,1.853999939E2,3.790092468E0,2.500000000E0
4.568801545E1,6.505711757E1,2.546739166E1,2.313055587E1,1.500000000E0,1.688000031E2,3.790092468E0,2.500000000E0
4.669565217E1,6.505710116E1,2.546740345E1,2.264093939E1,1.389999986E0,1.751000061E2,3.790092468E0,2.500000000E0
4.769935738E1,6.505708658E1,2.546741800E1,2.232191578E1,1.379999995E0,1.586999969E2,3.790092468E0,2.500000000E0
4.867988358E1,6.505707221E1,2.546742868E1,2.166005719E1,1.320000052E0,1.818000031E2,3.790092468E0,2.500000000E0
4.968758993E1,6.505705745E1,2.546743108E1,2.135092002E1,1.330000043E0,1.906000061E2,3.790092468E0,2.500000000E0
5.068591498E1,6.505704239E1,2.546744178E1,2.158084636E1,1.490000010E0,1.673000031E2,3.790092468E0,2.500000000E0
5.168055456E1,6.505702783E1,2.546745608E1,2.140610982E1,1.309999943E0,1.663999939E2,3.790092468E0,2.500000000E0
5.270096581E1,6.505701338E1,2.546746594E1,2.044951240E1,1.240000010E0,1.765000000E2,3.790092468E0,2.500000000E0
5.368569040E1,6.505699963E1,2.546747270E1,1.927861995E1,1.179999948E0,1.763000031E2,3.790092468E0,2.500000000E0
5.468925040E1,6.505698380E1,2.546747871E1,1.898907586E1,1.299999952E0,1.808999939E2,3.790092468E0,2.500000000E0
5.568542066E1,6.505696731E1,2.546748318E1,1.872351868E1,1.340000033E0,1.810000000E2,3.790092468E0,2.500000000E0
5.669509873E1,6.505695184E1,2.546748430E1,1.875471367E1,1.330000043E0,1.840000000E2,3.790092468E0,2.500000000E0
5.767889795E1,6.505693741E1,2.546747799E1,1.768367357E1,1.320000052E0,1.976999969E2,3.790092468E0,2.500000000E0
5.869289920E1,6.505692406E1,2.546746895E1,1.774044038E1,1.269999981E0,2.006000061E2,3.790092468E0,2.500000000E0
5.968873935E1,6.505691144E1,2.546745525E1,1.800612975E1,1.389999986E0,2.188999939E2,3.790092468E0,2.500000000E0
6.068087071E1,6.505689699E1,2.546744768E1,1.792642253E1,1.509999990E0,1.903000031E2,3.790092468E0,2.581313610E0
6.168121805E1,6.505688246E1,2.546744363E1,1.836563662E1,1.350000024E0,1.948999939E2,3.790092468E0,2.526820898E0
6.268531461E1,6.505686894E1,2.546743957E1,1.894315599E1,1.350000024E0,1.931999969E2,3.790092468E0,2.584210157E0
6.368201951E1,6.505685559E1,2.546743557E1,1.908476221E1,1.350000024E0,1.941999969E2,3.790092468E0,2.617738962E0
6.468446836E1,6.505684216E1,2.546743710E1,1.852184026E1,1.379999995E0,1.743999939E2,3.790092468E0,2.611240625E0
6.569056268E1,6.505682789E1,2.546743741E1,1.707317631E1,1.389999986E0,1.951000061E2,3.790092468E0,2.918186426E0
6.668889716E1,6.505681343E1,2.546743698E1,1.658996645E1,1.360000014E0,1.866999969E2,3.790092468E0,2.977663040E0
6.768977357E1,6.505679910E1,2.546744416E1,1.544049760E1,1.350000024E0,1.760000000E2,3.790092468E0,2.884333372E0
6.868924680E1,6.505678569E1,2.546745981E1,1.470899807E1,1.309999943E0,1.605000000E2,3.790092468E0,3.020700693E0
6.968885534E1,6.505677270E1,2.546748134E1,1.463472557E1,1.350000024E0,1.470000000E2,3.790092468E0,3.192120314E0
7.069194888E1,6.505676085E1,2.546750431E1,1.439718376E1,1.309999943E0,1.408000031E2,3.790092468E0,3.250564575E0
7.168748904E1,6.505675328E1,2.546753297E1,1.433108868E1,1.149999976E0,1.264000015E2,3.790092468E0,3.266207457E0
7.268336294E1,6.505674851E1,2.546756483E1,1.474723165E1,1.419999957E0,1.046999969E2,3.790092468E0,3.205581665E0
7.369157534E1,6.505674552E1,2.546760007E1,1.453190457E1,1.289999962E0,1.115999985E2,3.790092468E0,3.172246456E0
7.468907190E1,6.505674355E1,2.546763476E1,1.458659658E1,1.259999990E0,1.058000031E2,3.790092468E0,2.978524446E0
7.568625659E1,6.505674382E1,2.546767075E1,1.481603153E1,1.289999962E0,9.519999695E1,3.790092468E0,2.882161140E0
7.669132893E1,6.505674291E1,2.546770334E1,1.419781031E1,1.279999971E0,1.050000000E2,3.790092468E0,2.707573414E0
7.768722643E1,6.505674350E1,2.546773659E1,1.344158811E1,1.309999943E0,9.230000305E1,3.790092468E0,2.568965673E0
7.869213950E1,6.505674623E1,2.546776741E1,1.318432722E1,1.200000048E0,8.300000000E1,3.790092468E0,2.500000000E0
7.968373367E1,6.505675126E1,2.546779665E1,1.262341538E1,1.210000038E0,7.169999695E1,3.790092468E0,2.500000000E0
8.068904815E1,6.505675641E1,2.546782583E1,1.225543562E1,1.289999962E0,7.609999847E1,3.790092468E0,2.500000000E0
8.168896648E1,6.505676212E1,2.546785564E1,1.245306851E1,1.360000014E0,6.459999847E1,3.790092468E0,2.500000000E0
8.268949908E1,6.505677010E1,2.546788209E1,1.220587595E1,1.279999971E0,5.340000153E1,3.790092468E0,2.500000000E0
8.368283028E1,6.505678039E1,2.546790149E1,1.204687755E1,1.279999971E0,3.740000153E1,3.790092468E0,2.500000000E0
8.468904101E1,6.505679162E1,2.546791712E1,1.184179683E1,1.230000019E0,3.379999924E1,3.790092468E0,2.500000000E0
8.569101236E1,6.505680291E1,2.546793298E1,1.203442120E1,1.230000019E0,3.450000000E1,3.790092468E0,2.500000000E0
8.668108330E1,6.505681377E1,2.546794471E1,1.154369568E1,9.800000191E-1,2.310000038E1,3.790092468E0,2.500000000E0
8.769233096E1,6.505682475E1,2.546795956E1,1.111711839E1,1.230000019E0,3.700000000E1,3.790092468E0,2.500000000E0
8.868069080E1,6.505683580E1,2.546797837E1,1.128551221E1,1.210000038E0,3.570000076E1,3.790092468E0,2.500000000E0
8.969831017E1,6.505684567E1,2.546800218E1,1.155778886E1,1.230000019E0,4.829999924E1,3.790092468E0,2.500000000E0
9.068768200E1,6.505685440E1,2.546802846E1,1.143571807E1,1.240000010E0,5.200000000E1,3.790092468E0,2.500000000E0
9.168878752E1,6.505686375E1,2.546805538E1,1.142021450E1,1.340000033E0,4.779999924E1,3.790092468E0,2.500000000E0
9.268155830E1,6.505687327E1,2.546807763E1,1.090373379E1,1.200000048E0,4.159999847E1,3.790092468E0,2.500000000E0
